Elexon ID,Name,Minor FLOP,Major FLOP,P(Gross),Q Gross,Q net,Embedded Storage,Embedded Solar,Embedded Wind,Embedded Hydro,Embedded Other
,,,,Demand (MW),Demand (MVAR),Demand (MVAR),Total Capacity (MW),Total Capacity (MW),Total Capacity (MW),Total Capacity (MW),Total Capacity (MW)
ABHA1,Abham,F6,F,336.9,0.9,-20.9,191.3,389.6,1.1,1.9,77.6
ABNE_P,Abernethy,T4,T,38.6,-0.7,-2,1,42.6,29.4,0.1,7.1
ABTH_1,Aberthaw,H2,H,181.5,8.7,-32.7,2.4,129.3,0.6,0,32.9
ACTL_2,Acton Lane 66kV,A7,A,25.7,-2.2,-2.7,0.6,12.6,0,0.3,0.6
ACTL_C,Acton Lane 22kV,A7,A,35.6,0.5,-3.8,0,3.5,0,0,1.1
ALNE_P,Alness,T5,T,31.7,-1.7,-2.4,0.4,15.1,8.2,6.7,6.1
ALST_3,Alpha Steel (Uskmouth),H2,H,0,0,0,0,6.5,0,0,2.3
ALVE1,Alverdiscott,F6,F,270.9,19.1,0.7,81.8,555.2,238.9,2.5,19.7
AMEM_1,Amersham Main,A6,A,32.3,24.2,16.6,113.4,120.7,0,0,6
ARBR_P,Arbroath,T4,T,22.5,-1.4,-2.2,11,34.9,0.9,0,2.5
ARDK_P,Ardkinglas,T3,T,0,0,0,0,3.2,0,0,0
ARMO_P,Ardmore,T1,T,33,-6.5,-10,0.3,24.1,55.1,0.1,0.8
AXMI_H,Axminster H,E1,E,79.9,8.5,0.2,0,0,0,0,0
AXMI1,Axminster,E1,E,82.4,7.1,0.3,5.8,360.1,0.3,0,17.7
AYRR,Ayr,S6,S,46.4,1.9,-1.7,0.3,3.6,0,0,0.1
BAGA,Bathgate,S5,S,45.7,4.1,-2.1,0.7,15.2,74.7,0,1.3
BAIN,Bainsford,S5,S,27.8,4.5,1.3,0.2,8.1,4.5,0,46.9
BARKR_A,Barking (Eastern),A1,A,67,24.8,1.2,0,0,0,0,0
BARKR_C,Barking (London),A1,A,8.6,16.7,0.5,2.3,39.1,0,0,85
BARKW3,Barking West,A1,A,227.7,36,6.8,0,4.8,0,0,33.6
BEAU_P,Beauly,T1,T,27.5,0.3,-1.3,0.6,9.1,2.9,5.9,0.1
BEDD_1,Beddington SPN,A8,A,487.1,84.3,-37.4,14.8,45.9,0,0.8,110.5
BEDDT1,Beddington LPN,A8,A,133.8,29.8,-8.6,2.7,15,0,0,2.1
BERB_P,Berryburn,T1,T,0,0,0,0,0,0,0,0.3
BERW,Berwick,S6,S,35.1,2.8,-4.4,1.9,13.2,152.1,0,0.8
