Major FLOP,P(Gross),Q Gross,Embedded Solar,Embedded Wind,Embedded Storage,Assigned_Major_FLOP,Capacity (MW),Total_Renewable_Generation_MW
A,9811.2,1236.5,675.6,1.0,179.2,,,855.8
B,3458.7,292.2,1364.0,78.2,167.89999999999998,B,400.0,2010.1
C,2118.5,186.5,1096.9,258.1,430.6,C,1448.3,3233.8999999999996
D,2582.7000000000003,37.7,1276.9,31.7,392.0,,,1700.6000000000001
E,1241.8,29.4,1256.7,3.9,113.9,,,1374.5000000000002
F,1611.6,61.800000000000004,1611.8000000000002,316.4,279.8,,,2208.0000000000005
G,2889.3,405.40000000000003,2660.2000000000003,63.5,707.4,,,3431.1000000000004
H,2679.4,305.8,1784.6,845.5,193.39999999999998,H,228.0,3051.5
J,3858.2,172.2,3391.3,759.5,507.4,J,6959.8,11618.0
K,577.1,51.6,922.0,237.3,153.4,K,1061.0,2373.7000000000003
L,8332.7,783.1,2975.2,238.5,821.9,,,4035.6
M,870.2,10.3,513.2,803.9,5.1,M,576.0,1898.1999999999998
N,6219.6,300.6,776.9,250.1,441.6,N,254.0,1722.6
P,6089.4,270.4,1611.6,748.5,708.9,P,1300.0,4369.0
Q,3389.5,52.4,936.8,1063.8,311.9,Q,5165.2,7477.7
R,1204.1,57.7,240.5,77.2,198.1,,,515.8
S,3692.2,362.1,521.1,1396.3,220.7,S,3776.4,5914.5
T,1517.1,-29.5,412.1,584.2,32.900000000000006,T,4003.4,5032.599999999999
