Major FLOP,Renewables,Proportion Renewables,Embedded Storage,Additional Renewables Capacity (MW),Total_Renewable_Generation_MW
A,676.6,0.011879116036455507,179.2,54.50376019846516,910.3037601984652
B,1842.2,0.03234364109127747,167.89999999999998,148.3990940549993,2158.499094054999
C,2803.3,0.04921774458320385,430.6,225.82085569665588,3459.720855696656
D,1308.6000000000001,0.022975186587800293,392.0,105.4147511021453,1806.0147511021455
E,1260.6000000000001,0.02213244705225512,113.9,101.54809356515693,1476.0480935651572
F,1928.2000000000003,0.03385354942579591,279.8,155.3268554754368,2363.3268554754372
G,2723.7000000000003,0.047820201520091435,707.4,219.40864861448352,3650.5086486144837
H,2858.1,0.050179872219617914,193.4,230.2352897180509,3281.735289718051
J,11110.6,0.19506962257558758,507.4,895.0184423013109,12513.01844230131
K,2220.3,0.03898197064106143,153.4,178.85707769531805,2552.557077695318
L,3213.7,0.05642316761211508,821.9,258.88077763790636,4294.480777637906
M,1893.1,0.033237296140428495,5.1,152.49936215151402,2050.699362151514
N,1281.0,0.022490611354861814,441.6,103.19142301837697,1825.791423018377
P,3660.1,0.06426064529268519,708.9,294.8406927318982,4663.840692731898
Q,7165.799999999999,0.12581047841270007,311.9,577.2436370531505,8054.943637053149
R,317.7,0.005577882300889616,198.1,25.592439572941736,541.3924395729417
S,5693.8,0.09996646598931476,220.7,458.66613925217393,6373.166139252174
T,4999.7,0.0877801011638584,32.900000000000006,402.75266016001507,5435.352660160014
